"player","matches","points_played","points_won","winners","errors_forced","unforced_errors","break_points","aces","double_faults","first_serves_in","first_serves_won","second_serves_in","second_serves_won","first_serve_returns","second_serve_returns","short_rallies_won","medium_rallies_won","long_rallies_won","service_games_won"
"Abigail Rencheli",14,1522,820,229,98,462,125,10,55,397,257,287,153,348,224,494,192,134,410
"Adriana Reami",44,4803,2675,547,324,1250,418,80,82,1380,926,927,498,1279,671,1524,706,445,1424
"Alana Smith",37,4493,2470,604,243,1223,348,142,90,1275,868,865,510,1171,564,1621,585,264,1378
"Amanda Rebol",13,1509,795,164,37,373,128,4,79,509,312,164,84,448,182,364,251,180,396
"Amelia Rajecki",9,1283,629,131,100,432,77,35,58,369,248,228,124,315,165,386,135,108,372
"Anna Rogers",39,4235,2335,535,210,1259,324,116,77,1300,875,757,429,1185,515,1348,587,400,1304
"Bianca Moldovan",10,1031,593,133,31,279,83,31,20,304,226,178,95,292,142,369,135,89,321
"Claudia Wiktorin",2,244,135,22,13,46,27,9,8,89,58,27,14,83,21,75,44,16,72
"Dylan Cannon",4,450,241,51,25,111,46,7,18,135,81,78,43,121,39,154,66,21,124
"Jaeda Daniel",34,3701,1992,532,310,1052,317,46,193,1076,671,571,351,954,478,1197,500,295,1022
"Lana Mavor",7,628,337,67,25,175,53,5,12,217,135,89,44,168,86,213,86,38,179
"Lexi Keberle",21,2228,1227,233,109,524,193,14,22,784,480,310,171,580,305,661,321,245,651
"Liz Norman",20,2160,1149,223,104,614,173,36,56,551,338,463,255,574,290,703,261,185,593
"Marta Gonzalez",4,435,202,44,28,114,39,10,15,112,63,102,52,123,33,119,43,40,115
"Nell Miller",3,366,203,32,42,69,32,10,25,95,67,48,26,102,58,136,38,29,93
"Priska Nugroho",3,306,149,51,26,61,27,5,6,81,54,70,36,70,42,74,41,34,90
"Sara Nayar",3,402,192,34,34,94,34,1,18,130,76,52,21,79,50,119,44,29,97
"Sophie Abrams",3,377,188,55,7,122,30,2,12,118,74,60,34,85,42,105,51,32,108
"Total",270,30173,16332,3687,1766,8260,2474,563,846,8922,5809,5276,2940,7977,3907,9662,4086,2584,8749
