,Year,Avg Word Count,Avg Foreign Words,Avg Comp Sent,Avg Pos Sent,Avg Neg Sent,Avg Emo Flags,Avg Anger,Avg Antic,Avg Disgust,Avg Fear,Avg Joy,Avg Neg,Avg Pos,Avg Sadness,Avg Surprise,Avg Trust,Avg Exp Valence,Avg GS Index,Avg GS Indicator,Avg Twitter Sent
0,2006,532.46,27.94,0.35685,0.20888000000000007,0.13103,117.04,0.07098085265296648,0.09046172071862132,0.052348543050317824,0.07785167803089439,0.10896014251371632,0.19777686621758128,0.17150333166529838,0.08118950529411842,0.053078716080113,0.09584864377637224,0.07425521286733085,145.89884462151394,0.6067330677290836,0.0
1,2007,533.01,26.2,0.571494,0.22942999999999997,0.11541000000000003,124.41,0.07347819101973442,0.0953509574518203,0.04674844268566823,0.08960634178745742,0.11145395072130374,0.1872797213835309,0.1641771769480881,0.08627320751914955,0.05207448944172999,0.09355752104151699,0.07548210082574476,157.76482071713147,0.46386454183266934,0.0
2,2008,491.71,24.13,0.636165,0.24524,0.11129000000000001,113.8,0.06462547313861013,0.1058877926235999,0.04840973276629373,0.0870670888474015,0.12166687191178632,0.18377875680537845,0.15742428296806535,0.08810987705122594,0.054447846773867443,0.08858227711377084,0.10721190219043697,161.1213438735178,0.4359288537549407,0.0
3,2009,478.63,20.62,0.497694,0.24193,0.12235,119.26,0.061439692024134074,0.1005381558047782,0.0459583233546787,0.07751050645900928,0.12799169983429526,0.19373191405346643,0.15348667785838319,0.08614671495271259,0.05499329499743045,0.09820302066111147,0.13022365650006182,163.98924603174603,0.597420634920635,0.0
4,2010,475.53,20.13,0.5954989999999999,0.25334,0.12008999999999999,112.51,0.06263535653754287,0.09767011758416148,0.04802482948812809,0.07311297993055889,0.142400406117547,0.20290529115462946,0.1468676123048302,0.07998877055382218,0.061347050965172095,0.0850475853636074,0.16680629693718665,186.04742063492063,0.5565079365079365,0.0
5,2011,463.85,19.1,0.5711790000000001,0.25045000000000006,0.12337999999999998,112.63,0.0647167199103059,0.09546120961725825,0.045709980454553635,0.09167606779952672,0.13134427637924745,0.17954264685448534,0.15260493373539355,0.09185334236685488,0.05500927715159526,0.09208154573077866,0.10647243353547835,206.43210317460318,0.4508333333333333,0.0
6,2012,397.73,17.43,0.5163710000000001,0.24587,0.12699,104.8,0.055251129099996306,0.10114465443645157,0.036884904799999896,0.07779102030331637,0.1401325450610969,0.19731788394250807,0.1465600077614254,0.09095706984048738,0.06315488305473942,0.09080590169997832,0.17209685499288696,228.87439999999998,0.5854400000000001,0.5581155810771127
7,2013,418.16,18.26,0.38739399999999996,0.25748999999999994,0.14413,111.66,0.05576669630113492,0.0992631065734572,0.03817564845583514,0.08795043676834087,0.13514979897598342,0.19015344929212538,0.14644762828832877,0.08942757324749351,0.05526465715409013,0.09240100494321025,0.1500134657028638,238.92642857142857,0.5153968253968254,0.5444452630567777
8,2014,431.37,25.22,0.5712320000000001,0.23764,0.11406000000000001,104.5,0.0619007512624407,0.07950674001828548,0.04785863007339561,0.09470837636964691,0.12154585901763605,0.19387115555637138,0.16352933764413036,0.08881230522427051,0.04926208834243332,0.08900475649138935,0.08208481873048906,254.92531746031747,0.47865079365079366,0.5382858466690053
9,2015,440.04,20.33,0.4965270000000001,0.24153,0.13552999999999998,112.93,0.07364263921400668,0.09524689828502017,0.04306238641558588,0.09008732098342183,0.12909803286962085,0.1883605912764127,0.1550421431729342,0.08430973546806303,0.04846274907138204,0.09268750324355222,0.10511136723184597,273.66289682539684,0.47904761904761906,0.6193251611242765
10,2016,441.27,22.7,0.426341,0.23125999999999997,0.13964999999999997,104.61,0.060370128422574144,0.10012798599624598,0.04587256841416562,0.09908933301848474,0.12914710410308058,0.19218188226520638,0.15202096069172577,0.08475407264845415,0.04995566676747864,0.08648029767258364,0.12839490895509187,288.85579365079366,0.4996428571428571,0.6898582091524247
11,2017,476.71,30.49,0.37057600000000007,0.24236999999999997,0.14795999999999998,123.48,0.07243483292716021,0.08636681974652272,0.05073859660464421,0.09193402396577437,0.11812405663185926,0.1879695999475931,0.1629231106820307,0.08803855063072456,0.05296501510234124,0.08850539376134932,0.07129040058375659,307.52147410358566,0.5877689243027888,0.7049194730669934
12,2018,491.48,39.16,0.358805,0.25356,0.14997999999999997,124.2,0.0888604894004653,0.08757316141772079,0.05464759484652841,0.09097544067916896,0.11142102325094554,0.18170912696434993,0.1638335312230768,0.08541805546993052,0.051100010926572154,0.0844615658212411,0.039043651619587415,312.1731474103586,0.4483266932270916,0.6508890487571698
13,2019,443.39,29.43,0.35397000000000006,0.24207,0.16642000000000004,112.94,0.08634096538856069,0.08115300764768162,0.06107645882414386,0.0946104985642601,0.10945731443874082,0.16631476258598363,0.173305355202809,0.09572969039753561,0.049640954176449446,0.0823709927738348,-0.009886430964193673,342.7609920634921,0.5958730158730159,0.5700553808694613
14,2020,448.24,27.06,0.30355299999999996,0.24561,0.16258000000000003,113.48,0.08218267229436604,0.08725519139240925,0.056470937998078764,0.09719297269957332,0.1116509311485912,0.17008154653009083,0.16564698966665406,0.09725560000959232,0.04858469764169275,0.08367846061895103,0.01601616674409286,369.2779841897233,0.5994466403162055,0.5719692728961813
15,2021,421.82,28.44,0.49397299999999994,0.25352,0.13429999999999997,105.23,0.078754216073243,0.08803281943931067,0.058812485689353274,0.08497062443783865,0.12055921065663547,0.17457580295111547,0.16376596192450332,0.08918847314169216,0.056669275271608505,0.08467113041469909,0.04931597148987834,390.7341666666666,0.4852777777777778,0.5821502476867998
